siren,nic,siret,dateCreationEtablissement,dateDernierTraitementEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,dateDebut,etatAdministratifEtablissement
005420104,00019,00542010400019,1954-01-01,2015-05-14T03:02:02,PL,MAX LEJEUNE,80100,ABBEVILLE,80001,39
005420120,00015,00542012000015,1989-01-27,2020-08-25T10:10:13,RUE,DE LA FONTAINE,80120,RUE,80688,39
005420120,00023,00542012000023,1900-01-01,2019-11-14T14:00:50,RTE,DE MONTREUIL,62180,RANG-DU-FLIERS,62688,39
005420120,00031,00542012000031,1900-01-01,2021-01-01T03:35:01,RTE,NATIONALE,62140,MARCONNELLE,62550,39
005420120,00049,00542012000049,1900-01-01,2021-01-13T08:45:19,RUE,DE LA GARE,62180,CONCHIL-LE-TEMPLE,62233,39
005440011,00012,00544001100012,1991-09-30,2012-04-12T03:45:09,AV,DE VERDUN,04000,DIGNE-LES-BAINS,04070,39
005440110,00038,00544011000038,1900-01-01,2019-11-14T14:00:14,CRS,PECHINEY,04600,CHATEAU-ARNOUX-SAINT-AUBAN,04049,39
005440110,00053,00544011000053,1991-11-04,2006-12-15T00:14:43,BD,GASSENDI,04000,DIGNE-LES-BAINS,04070,39
005440110,00061,00544011000061,1995-10-01,2008-01-04T17:54:11,RUE,FIRMIN GUICHARD,04000,DIGNE-LES-BAINS,04070,39
005440565,00017,00544056500017,1954-01-01,2008-01-04T17:54:11,PL,DU GENERAL DE GAULLE,04200,SISTERON,04209,39
005441043,00014,00544104300014,1954-01-01,2012-07-28T11:19:32,BD,VICTOR HUGO,04000,DIGNE-LES-BAINS,04070,39
005450093,00025,00545009300025,1991-01-01,2011-01-28T08:54:07,QUAI,STE ANNE,04500,RIEZ,04166,39
005450093,00033,00545009300033,2001-02-20,2019-11-14T14:00:14,AV,DES THERMES,04800,GREOUX-LES-BAINS,04094,39
005450093,00041,00545009300041,2011-04-12,2019-11-14T14:00:14,RUE,GRANDE,04800,GREOUX-LES-BAINS,04094,39
005450093,00058,00545009300058,2015-02-01,2019-11-14T14:00:14,RUE,GRANDE,04800,GREOUX-LES-BAINS,04094,39
005450119,00036,00545011900036,1994-05-01,2012-05-05T00:05:22,BD,GASSENDI,04000,DIGNE-LES-BAINS,04070,39
005471800,00010,00547180000010,1900-01-01,2019-11-14T14:00:38,AV,DU GENERAL DE GAULLE,44500,LA BAULE-ESCOUBLAC,44055,39
005471800,00028,00547180000028,1900-01-01,2008-01-04T17:54:11,RTE,DE LA BAULE,44350,GUERANDE,44069,39
005473152,00048,00547315200048,1998-01-01,2019-11-14T14:00:15,ALL,DE LA COLLE LONGUE,06270,VILLENEUVE-LOUBET,06161,39
005473202,00017,00547320200017,1900-01-01,2006-12-15T00:14:43,PL,ARISTIDE BRIAND,44220,COUERON,44047,39
005473202,00025,00547320200025,1992-05-01,2008-01-04T17:54:11,RUE,DU DOCTEUR JANVIER,44220,COUERON,44047,39
005473418,00019,00547341800019,1954-01-01,2006-10-26T23:33:47,LD,VILLE BERTHE,44460,FEGREAC,44057,39
005474440,00012,00547444000012,1954-01-01,2019-11-14T14:00:38,BD,DE LA LIBERATION,44360,SAINT-ETIENNE-DE-MONTLUC,44158,39
005474960,00019,00547496000019,1954-01-01,2019-11-14T14:00:39,RUE,JEAN GUTENBERG,44600,SAINT-NAZAIRE,44184,39
005480231,00017,00548023100017,1900-01-01,2019-11-14T14:00:38,AV,MAL DE LATTRE DE TASSIGNY,44500,LA BAULE-ESCOUBLAC,44055,39
005511456,00013,00551145600013,1955-01-01,2012-07-28T11:19:34,RUE,GRANDE,80220,GAMACHES,80373,39
005520028,00019,00552002800019,1955-01-01,2008-01-04T17:54:12,RUE,AMBROISE CROIZAT,80570,DARGNIES,80235,39
005520077,00016,00552007700016,1955-01-01,2019-11-14T14:01:00,RUE,GAMBETTA,80210,FEUQUIERES-EN-VIMEU,80308,39
005520119,00016,00552011900016,1900-01-01,2007-01-23T12:14:33,BD,DE LA PORTELETTE,80100,ABBEVILLE,80001,39
005520119,00024,00552011900024,1900-01-01,2007-01-23T12:14:33,RUE,LEDIEN,80100,ABBEVILLE,80001,39
